57 313 
1 6 657.000000
1 10 227.000000
1 14 1371.000000
1 15 697.000000
1 19 305.000000
1 21 1319.000000
1 32 463.000000
1 38 444.000000
1 42 105.000000
1 47 2545.000000
2 6 1080.000000
2 31 406.000000
2 32 785.000000
2 33 1106.000000
2 34 257.000000
2 35 506.000000
2 37 1027.000000
2 43 2701.000000
2 55 835.000000
3 11 355.000000
3 18 537.000000
3 24 793.000000
3 36 189.000000
3 42 230.000000
3 53 465.000000
3 54 1151.000000
3 55 1225.000000
3 56 38.000000
4 6 1232.000000
4 10 498.000000
4 12 604.000000
4 17 365.000000
4 39 924.000000
4 50 577.000000
5 15 672.000000
5 17 1135.000000
5 25 937.000000
5 27 1082.000000
5 41 207.000000
5 44 1657.000000
5 48 1241.000000
5 49 953.000000
5 51 963.000000
5 54 751.000000
5 56 1547.000000
6 18 853.000000
6 33 1394.000000
6 35 1586.000000
6 37 1456.000000
6 41 1787.000000
6 49 2778.000000
6 50 1129.000000
6 51 1405.000000
6 52 1398.000000
6 56 443.000000
7 16 252.000000
7 18 406.000000
7 32 626.000000
7 37 1009.000000
7 41 1340.000000
8 12 1268.000000
8 13 885.000000
8 14 101.000000
8 16 1260.000000
8 18 1123.000000
8 22 1095.000000
8 31 1119.000000
8 38 881.000000
8 40 920.000000
8 49 1034.000000
8 56 1660.000000
8 57 609.000000
9 13 937.000000
9 23 751.000000
9 32 91.000000
9 38 155.000000
9 39 779.000000
9 47 2187.000000
9 53 239.000000
9 54 567.000000
9 55 696.000000
9 57 706.000000
10 12 106.000000
10 16 255.000000
10 21 1093.000000
10 23 696.000000
10 29 2225.000000
10 38 323.000000
10 41 1068.000000
11 12 140.000000
11 18 220.000000
11 22 313.000000
11 33 761.000000
11 37 823.000000
11 47 2536.000000
11 48 2433.000000
11 50 496.000000
11 56 355.000000
11 57 1009.000000
12 16 185.000000
12 17 341.000000
12 20 1803.000000
12 21 1198.000000
12 25 539.000000
12 31 618.000000
12 32 420.000000
12 34 399.000000
12 46 1726.000000
12 48 2413.000000
12 52 1027.000000
13 29 1419.000000
13 33 984.000000
13 37 663.000000
13 38 805.000000
13 40 1029.000000
13 54 496.000000
13 55 268.000000
13 56 1384.000000
14 26 601.000000
14 38 927.000000
14 43 1308.000000
14 57 508.000000
15 20 1207.000000
15 22 467.000000
15 40 1441.000000
15 41 492.000000
15 48 1817.000000
15 54 269.000000
15 56 1032.000000
16 19 492.000000
16 36 678.000000
16 40 1989.000000
16 42 292.000000
16 55 923.000000
16 56 522.000000
16 57 956.000000
17 19 723.000000
17 21 857.000000
17 24 733.000000
17 26 447.000000
17 30 125.000000
17 37 640.000000
17 40 1665.000000
17 42 523.000000
17 43 2314.000000
17 44 693.000000
17 48 2322.000000
18 21 1141.000000
18 22 116.000000
18 24 921.000000
18 27 130.000000
18 28 700.000000
18 33 587.000000
18 36 693.000000
18 39 612.000000
18 45 354.000000
18 47 2343.000000
18 48 2259.000000
18 53 110.000000
18 54 650.000000
19 33 1086.000000
19 35 1261.000000
19 44 381.000000
19 49 2470.000000
19 56 118.000000
19 57 1260.000000
20 23 1940.000000
20 27 1713.000000
20 38 1460.000000
20 41 739.000000
20 49 322.000000
20 50 1500.000000
20 55 1439.000000
21 22 1025.000000
21 27 1271.000000
21 28 441.000000
21 33 1226.000000
21 34 802.000000
21 35 358.000000
21 40 1156.000000
21 42 1380.000000
21 43 2302.000000
21 47 1951.000000
21 49 2127.000000
21 57 625.000000
22 26 503.000000
22 27 246.000000
22 31 445.000000
22 32 275.000000
22 38 214.000000
22 39 660.000000
22 40 1733.000000
22 49 1980.000000
22 50 192.000000
22 54 566.000000
23 26 664.000000
23 30 585.000000
23 37 868.000000
23 38 676.000000
23 41 1258.000000
23 44 801.000000
24 28 823.000000
24 32 1101.000000
24 37 1343.000000
24 40 2036.000000
24 43 3010.000000
24 46 2231.000000
24 48 3025.000000
24 53 968.000000
25 27 606.000000
25 36 1107.000000
25 39 1026.000000
25 41 743.000000
25 43 2016.000000
25 44 960.000000
25 48 2035.000000
26 39 1163.000000
26 55 257.000000
27 28 830.000000
27 33 651.000000
27 37 713.000000
27 41 1044.000000
27 42 339.000000
27 49 2035.000000
27 54 780.000000
27 57 919.000000
28 29 1726.000000
28 34 361.000000
28 36 1278.000000
28 41 998.000000
28 43 2271.000000
28 53 810.000000
29 32 2173.000000
29 37 1682.000000
29 40 390.000000
29 43 994.000000
29 44 2631.000000
29 47 405.000000
29 50 1936.000000
29 51 1664.000000
29 53 2322.000000
29 57 1423.000000
30 33 710.000000
30 35 741.000000
30 39 704.000000
30 41 1064.000000
30 45 264.000000
30 46 1649.000000
30 50 279.000000
30 51 485.000000
30 56 612.000000
31 37 663.000000
31 39 1047.000000
31 44 781.000000
31 46 1547.000000
31 50 390.000000
32 36 951.000000
32 55 787.000000
33 34 849.000000
33 41 393.000000
