57 594 
1 6 659.282457
1 8 1356.165311
1 9 362.561494
1 10 231.308325
1 12 124.839520
1 14 1368.791971
1 16 127.611424
1 17 453.502050
1 23 917.205597
1 24 913.130943
1 27 176.215448
1 29 2411.328681
1 30 343.161149
1 32 420.539330
1 38 463.723613
1 40 2040.560989
1 43 2528.988669
1 45 542.626294
1 48 2480.718151
1 50 479.303169
1 52 1096.298483
1 54 859.391978
2 3 683.151776
2 4 165.693267
2 10 485.522173
2 12 555.052371
2 14 1414.244066
2 15 904.134868
2 18 621.808438
2 20 2100.518811
2 21 850.194556
2 29 2293.192074
2 31 403.633893
2 33 1118.260862
2 34 264.343068
2 36 863.297952
2 37 1002.659327
2 39 773.814863
2 40 1871.587233
2 41 1400.775171
2 43 2695.256251
2 44 429.198778
2 47 2570.641801
2 48 2697.986669
2 49 2423.701510
2 52 485.303284
2 53 675.350539
2 55 793.356377
2 56 645.890766
3 6 413.130242
3 7 317.010081
3 12 414.961573
3 13 1397.879593
3 17 693.555591
3 18 546.324464
3 20 2201.290762
3 25 959.112337
3 27 520.965162
3 28 1071.588068
3 35 1177.562190
3 36 191.107301
3 38 791.545761
3 44 340.164121
3 47 2912.901729
3 49 2531.717993
3 50 788.806062
3 51 1043.212516
3 52 1006.194416
3 55 1226.980276
3 56 39.247602
3 57 1293.155909
4 12 602.052256
4 14 1278.630807
4 18 633.882378
4 22 527.937381
4 23 252.483881
4 24 421.782125
4 34 217.916031
4 36 996.840196
4 42 736.641928
4 47 2417.963515
4 49 2308.692171
4 51 539.662217
4 54 758.485946
4 56 775.130327
5 6 1752.980566
5 8 525.102975
5 12 1177.528511
5 13 1249.880681
5 14 655.682473
5 16 1083.775788
5 18 1041.233794
5 19 1497.104217
5 20 666.033646
5 21 1506.120809
5 22 1061.234817
5 27 1029.148063
5 32 790.517544
5 39 1604.459001
5 40 1421.411818
5 42 1301.678328
5 43 1368.683325
5 45 985.796804
5 46 841.523647
5 49 990.270486
5 51 970.430227
5 52 2017.216608
5 53 1085.800752
5 56 1553.535287
5 57 851.327808
6 7 475.173602
6 11 655.037592
6 13 1796.764467
6 15 1347.957872
6 16 731.269846
6 18 872.591504
6 20 2418.769584
6 24 1204.907557
6 26 1452.150036
6 27 787.706283
6 30 962.055813
6 32 1037.620680
6 34 1097.730274
6 38 1121.190028
6 41 1735.361773
6 42 572.538050
6 44 706.224121
6 45 1195.093395
6 46 2457.946693
6 47 3222.677036
6 52 1364.991276
7 8 1516.492338
7 12 351.948695
7 13 1394.203696
7 14 1543.996699
7 20 1958.459989
7 30 569.956501
7 31 956.327091
7 34 748.066513
7 35 1293.855848
7 38 660.839539
7 39 331.697465
7 41 1264.388236
7 42 192.957023
7 44 619.340143
7 46 1982.815779
7 47 2747.893218
7 51 986.406828
8 10 1222.124203
8 12 1283.411488
8 18 1150.243037
8 19 1667.141546
8 20 681.019689
8 23 1238.056766
8 24 1762.363325
8 27 1205.759998
8 31 1085.209653
8 36 1852.770058
8 37 512.599155
8 40 901.690814
8 44 1730.547136
8 47 1232.174142
8 48 1237.103308
8 54 587.698262
8 55 727.774907
8 56 1687.990639
8 57 566.460688
9 14 1007.790433
9 16 282.321797
9 17 325.731759
9 19 673.439250
9 22 187.377498
9 25 359.357443
9 28 663.604215
9 34 479.560908
9 35 989.712038
9 41 793.058002
9 44 800.670479
9 45 290.103800
9 51 485.916824
